run,pdf_read_ms,chunking_ms,model_embedding_ms,db_insert_ms,search_ms
1,246.8951,32.2648,35299.6121,201.0657,170.1395
2,235.2161,112.1889,32798.2579,101.6744,51.0722
3,278.1239,41.0934,32964.8205,99.0523,47.6402
4,258.8085,47.0571,34871.8282,96.8474,84.1736
5,329.3312,43.8990,34484.4686,79.3294,46.7307
6,264.3360,43.1070,33760.7688,96.4903,67.6041
7,324.3955,43.5530,35416.2416,100.7501,76.4053
8,376.6174,52.2962,37537.3024,81.9346,146.2272
9,299.3158,48.8336,36977.0578,104.8162,71.5886
10,349.3471,47.6785,38965.8164,83.3732,56.0719
11,279.4146,39.7090,38541.2205,118.7322,164.1366
12,325.9828,47.8446,36945.4864,99.8027,73.8314
13,290.8007,40.4673,37184.0719,96.8515,54.8342
14,303.7617,50.1269,37438.2233,187.0500,53.8457
15,303.5304,43.4887,38050.1241,92.1112,53.6937
16,332.6392,49.2896,38435.1932,119.2244,70.9783
17,339.0797,65.5917,35920.0265,106.9735,60.3502
18,318.1097,58.6777,35245.0037,81.2351,47.6107
19,276.0351,40.7817,36545.9704,88.1442,55.3645
20,310.0349,47.9362,39203.8594,175.6660,72.1653
21,314.5599,46.3078,38051.6652,108.7496,75.1464
22,309.2858,51.9587,38378.3785,92.4426,68.1080
23,306.8743,48.2551,37587.0795,99.6802,45.4197
24,350.6578,62.8909,35876.1762,106.6808,51.6348
25,271.2182,44.3048,35628.2922,118.4940,63.7813
26,301.4492,46.3295,37962.1338,102.1395,77.3921
27,323.7249,50.9493,39039.5793,99.2016,58.7307
28,309.2005,48.9491,38329.1205,95.2992,60.8827
29,321.1568,48.4164,39534.3021,86.8569,51.1110
30,320.2041,56.5693,36195.5388,80.1563,59.6042
31,304.8782,43.4358,35114.2950,97.7642,61.9351
32,300.3282,43.5411,38540.4005,96.9589,55.2097
33,341.3400,49.1690,38852.4573,115.5755,54.4752
34,347.0576,49.1455,38920.6168,102.2454,54.0360
35,311.0578,52.0505,40570.1280,194.6416,65.5535
36,346.7439,52.6129,37675.1568,86.4250,51.8947
37,290.1498,39.9228,35787.7659,99.4214,54.8614
38,289.8098,44.3145,37673.7411,123.4814,63.2736
39,303.9922,55.2559,40854.3793,144.1494,86.9514
40,410.4898,61.0859,38405.9202,143.4838,56.9477
41,297.2164,50.9152,35316.3974,85.4058,45.4285
42,272.2181,41.4786,29938.1983,88.1224,44.9578
43,273.3028,41.4207,29820.6232,79.2830,41.3397
44,270.4601,40.0028,29086.0975,81.6784,38.7431
45,247.1299,38.7791,33065.0033,82.3457,50.4247
46,338.2060,42.3874,33708.7658,132.9368,42.4461
47,271.1864,42.6690,34028.4735,101.0726,61.7027
48,295.5489,40.2791,32704.4348,87.3688,36.7013
49,253.3070,42.4102,29015.5595,95.7849,46.7725
50,252.9355,45.0208,29047.0280,107.8773,51.2549
51,255.2739,43.8593,34167.2382,85.3846,96.4008
52,286.8938,50.5763,33488.5786,85.7363,43.8495
53,261.9513,42.7646,33564.1952,111.9181,48.6203
54,368.2170,59.3139,30704.1586,115.4609,52.7523
55,239.5108,39.3917,28088.6153,77.3948,40.5145
56,238.9575,40.2316,30776.6190,90.8669,42.4750
57,270.4003,39.0782,33384.1681,81.4264,42.1256
58,260.8509,41.3837,33319.1492,79.9318,43.9835
59,275.0370,43.8417,34186.5023,84.0875,95.4955
60,222.7518,38.3520,27680.2250,121.3839,39.4953
61,248.7206,48.6139,27746.3093,64.5712,38.5711
62,259.0502,45.8142,32494.7772,102.3253,46.8725
63,311.9763,49.8254,33769.1833,84.0147,48.5594
64,258.7741,46.2014,33352.4363,88.0344,48.1375
65,251.9726,43.1538,34053.7828,100.4135,44.9001
66,268.3182,40.6961,27162.0488,94.1545,54.3736
67,314.5298,37.9872,29463.6623,86.4161,39.9566
68,267.9548,49.2754,33518.5877,107.6237,39.1447
69,253.6971,42.1795,33976.7123,101.5181,52.5055
70,323.1875,53.0442,34151.4959,93.9047,47.6248
71,254.9843,44.4132,29810.5237,81.4724,38.6919
72,246.3427,35.4364,27212.2542,84.0016,43.1674
73,287.7106,40.3606,31951.7230,101.6403,49.5506
74,249.4156,42.7591,34054.4256,108.0865,50.8365
75,283.4702,42.2954,33671.6812,106.6687,48.7618
76,245.7900,45.4254,32783.6352,81.6729,38.1602
77,241.7633,41.5929,28282.1992,110.2633,38.4612
78,253.7424,35.5799,30233.8375,111.1259,41.2903
79,253.9858,41.4265,33419.1895,100.2021,97.7208
80,259.2601,42.1649,33651.8047,162.4001,62.2322
81,308.3782,41.4942,33997.2279,80.6668,45.7305
82,278.5606,42.5860,31272.8520,115.4967,45.1585
83,263.7654,38.4870,35185.2823,115.8260,79.3870
84,416.5052,66.9983,4862080.1206,181.0514,41.8480
85,211.6039,37.1850,46676.0797,110.2715,76.8673
86,990.7729,212.3404,43923.5784,92.8968,35.6875
87,536.8377,160.0862,35219.0266,71.9775,41.9632
88,211.6850,32.9690,26084.9902,99.5848,65.9106
89,283.9168,41.5018,30094.6464,113.6423,66.0476
90,254.8754,35.7536,29813.1232,98.8902,62.2929
91,294.2342,41.6287,30351.7462,94.8337,39.4520
92,258.1532,41.7773,30239.3844,90.3405,113.2376
93,257.9327,35.9096,31384.5203,145.4516,113.8519
94,534.9447,62.4733,36639.4231,85.4735,37.6509
95,270.9277,38.1058,37027.7188,103.3238,73.8166
96,379.8536,68.1040,38315.9954,112.0719,60.5220
97,340.7684,45.0388,39113.5775,102.7082,53.8211
98,290.9099,42.0492,34314.0185,105.4607,43.3842
99,265.1301,43.5587,31216.7109,95.6400,47.5987
100,262.5660,40.5085,32678.9724,180.9253,59.8926
